epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,2442.73,1.22378,0.95035,1.29592,0.51876,0.46866,0.47358,0.21219,1.86594,1.55328,1.85295,0.000896846,0.000896846,0.000896846
72,2474.66,1.16768,0.9129,1.26607,0.5643,0.50319,0.49325,0.23157,1.91351,1.51313,1.86825,0.000885844,0.000885844,0.000885844
73,2512.47,1.19459,0.91279,1.27536,0.53018,0.50127,0.46553,0.21605,1.88286,1.5572,1.88262,0.000874842,0.000874842,0.000874842
74,2544.51,1.15137,0.88323,1.24654,0.49896,0.52066,0.48804,0.22805,1.88577,1.48358,1.875,0.000863839,0.000863839,0.000863839
75,2576.96,1.14451,0.8645,1.24002,0.54423,0.49986,0.48798,0.22731,1.86927,1.53097,1.84488,0.000852837,0.000852837,0.000852837
76,2610.48,1.14897,0.86887,1.24385,0.49754,0.48796,0.45928,0.21171,1.91383,1.57114,1.89942,0.000841835,0.000841835,0.000841835
77,2644.48,1.12787,0.84232,1.22845,0.54696,0.50624,0.46082,0.21796,1.93022,1.52559,1.92158,0.000830833,0.000830833,0.000830833
78,2678.82,1.16236,0.87263,1.24748,0.56721,0.51739,0.47125,0.21832,1.88615,1.57668,1.90435,0.000819831,0.000819831,0.000819831
79,2713.29,1.11742,0.85514,1.22754,0.50725,0.49515,0.45594,0.20704,1.94461,1.57906,1.90113,0.000808828,0.000808828,0.000808828
80,2746.54,1.1125,0.83914,1.22075,0.57078,0.49862,0.48203,0.21539,1.96004,1.55637,1.93768,0.000797826,0.000797826,0.000797826
81,2778.51,1.09722,0.83607,1.23115,0.52295,0.53242,0.48001,0.22493,1.87973,1.54266,1.90676,0.000786824,0.000786824,0.000786824
82,2813.18,1.11622,0.84158,1.21809,0.47475,0.51292,0.45729,0.22825,1.87721,1.4937,1.88341,0.000775822,0.000775822,0.000775822
83,2847.05,1.10712,0.83,1.22075,0.49293,0.51636,0.46311,0.22978,1.83952,1.53552,1.8242,0.00076482,0.00076482,0.00076482
84,2880.17,1.07535,0.80688,1.20161,0.49111,0.54214,0.45988,0.21871,1.87377,1.53552,1.85943,0.000753817,0.000753817,0.000753817
85,2913.26,1.07372,0.79533,1.1912,0.53126,0.47706,0.45824,0.2278,1.87551,1.57188,1.8799,0.000742815,0.000742815,0.000742815
86,2947.65,1.05733,0.81548,1.19114,0.5817,0.4836,0.45443,0.21775,1.90604,1.56476,1.87891,0.000731813,0.000731813,0.000731813
87,2978.97,1.04184,0.7701,1.17238,0.54828,0.5234,0.49345,0.22596,1.89715,1.55687,1.89366,0.000720811,0.000720811,0.000720811
88,3011.84,1.08907,0.80063,1.21491,0.48192,0.47869,0.44456,0.2138,1.91496,1.5931,1.8977,0.000709809,0.000709809,0.000709809
89,3045.02,1.06467,0.78107,1.18752,0.50549,0.51234,0.46435,0.21888,1.93455,1.55647,1.88695,0.000698806,0.000698806,0.000698806
90,3079.68,1.06182,0.75397,1.17374,0.58333,0.49425,0.46054,0.21465,1.90812,1.56864,1.8873,0.000687804,0.000687804,0.000687804
91,3112.58,0.99947,0.71562,1.14801,0.54375,0.50191,0.48302,0.22427,1.93831,1.485,1.91099,0.000676802,0.000676802,0.000676802
92,3147.44,1.02813,0.75984,1.16102,0.5558,0.49688,0.44201,0.20609,1.92978,1.55747,1.89654,0.0006658,0.0006658,0.0006658
93,3183.34,1.00491,0.73002,1.14776,0.50323,0.48909,0.45766,0.21171,1.93339,1.54906,1.91313,0.000654798,0.000654798,0.000654798
94,3216.05,1.00957,0.71993,1.13752,0.54063,0.53774,0.50106,0.23306,1.89398,1.55429,1.89041,0.000643795,0.000643795,0.000643795
